2MASS	214.539702	52.682732	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.55885	52.652313	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.564577	52.650887	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.586983	52.712132	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.529501	52.69722	0.0	0.0	0.0	0.0	1	0	0	0	0	1	3	0	0	1	1
2MASS	214.630644	52.691261	0.0	0.0	0.0	0.0	1	0	1	0	0	1	2	0	1	1	1
2MASS	214.640859	52.678894	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.583245	52.639862	0.0	0.0	0.0	0.0	1	0	0	0	0	1	1	0	1	1	1
2MASS	214.638622	52.659679	0.0	0.0	0.0	0.0	1	0	0	0	0	1	4	0	1	1	1
2MASS	214.550425	52.72179	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.633212	52.646374	0.0	0.0	0.0	0.0	1	0	1	0	0	1	3	0	1	1	1
2MASS	214.505944	52.652611	0.0	0.0	0.0	0.0	1	0	0	0	0	1	5	0	1	1	1
2MASS	214.518148	52.641701	0.0	0.0	0.0	0.0	1	0	1	0	0	1	5	0	1	1	1
2MASS	214.667811	52.666512	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.483105	52.675655	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.498471	52.646152	0.0	0.0	0.0	0.0	1	0	0	0	0	1	4	0	1	1	1
2MASS	214.488336	52.654083	0.0	0.0	0.0	0.0	1	0	0	0	0	0	4	0	0	0	0
2MASS	214.478856	52.687714	0.0	0.0	0.0	0.0	1	0	0	0	0	1	3	0	1	1	1
2MASS	214.552444	52.619179	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.67512	52.701225	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.640192	52.731339	0.0	0.0	0.0	0.0	1	0	0	0	0	1	3	0	0	1	1
2MASS	214.474265	52.665462	0.0	0.0	0.0	0.0	1	0	0	0	0	1	1	0	1	1	1
2MASS	214.676332	52.709633	0.0	0.0	0.0	0.0	1	0	0	0	0	1	1	0	1	1	1
2MASS	214.659874	52.727867	0.0	0.0	0.0	0.0	1	0	1	0	0	1	3	0	1	1	1
2MASS	214.465029	52.662777	0.0	0.0	0.0	0.0	1	0	1	0	0	1	3	1	1	0	0
2MASS	214.619313	52.750053	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.460879	52.654018	0.0	0.0	0.0	0.0	1	0	1	0	0	1	6	0	1	1	1
2MASS	214.539595	52.606335	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.548134	52.756744	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	0	0
2MASS	214.446974	52.683846	0.0	0.0	0.0	0.0	0	0	0	0	0	1	2	0	1	0	1
2MASS	214.693169	52.717606	0.0	0.0	0.0	0.0	1	0	1	0	0	1	3	0	1	1	1
2MASS	214.448586	52.695389	0.0	0.0	0.0	0.0	1	0	1	0	0	1	6	0	1	1	1
2MASS	214.68526	52.632854	0.0	0.0	0.0	0.0	1	0	0	0	0	1	4	0	1	1	1
2MASS	214.709718	52.695026	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.568337	52.761395	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.688184	52.728741	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.713254	52.666241	0.0	0.0	0.0	0.0	1	0	0	0	0	1	4	0	1	1	1
2MASS	214.667135	52.615543	0.0	0.0	0.0	0.0	1	0	0	0	0	1	6	0	1	1	1
2MASS	214.629783	52.758984	0.0	0.0	0.0	0.0	1	0	0	0	0	1	2	0	1	1	1
2MASS	214.450468	52.726196	0.0	0.0	0.0	0.0	1	0	1	0	0	1	2	0	1	1	1
2MASS	214.595448	52.771702	0.0	0.0	0.0	0.0	1	0	1	0	0	1	3	0	1	1	1
2MASS	214.630396	52.587612	0.0	0.0	0.0	0.0	1	0	1	0	0	1	2	0	1	1	1
2MASS	214.709078	52.737942	0.0	0.0	0.0	0.0	1	0	1	0	0	1	2	0	1	1	1
2MASS	214.619336	52.775879	0.0	0.0	0.0	0.0	1	0	0	0	0	2	3	0	1	1	1
APASS	214.630648	52.691264	0.0	0.0	0.0	0.0	1	1	0	0	0	1	2	0	1	1	1
APASS	214.633193	52.646405	0.0	0.0	0.0	0.0	1	1	0	0	0	1	3	0	1	1	1
APASS	214.518031	52.64172	0.0	0.0	0.0	0.0	1	1	0	0	0	1	5	0	1	1	1
APASS	214.66027	52.727767	0.0	0.0	0.0	0.0	1	1	0	0	0	1	3	0	1	1	1
APASS	214.464753	52.662931	0.0	0.0	0.0	0.0	1	1	0	0	0	6	3	1	1	1	1
APASS	214.460828	52.654155	0.0	0.0	0.0	0.0	1	1	0	0	0	1	6	0	1	1	1
APASS	214.693296	52.717552	0.0	0.0	0.0	0.0	1	1	0	0	0	1	3	0	1	1	1
APASS	214.448408	52.695289	0.0	0.0	0.0	0.0	1	1	0	1	0	1	6	0	1	1	1
APASS	214.450488	52.726193	0.0	0.0	0.0	0.0	1	1	0	0	0	1	2	0	1	1	1
APASS	214.595436	52.771616	0.0	0.0	0.0	0.0	1	1	0	0	0	1	3	0	1	1	1
APASS	214.630279	52.587569	0.0	0.0	0.0	0.0	1	1	0	0	0	1	2	0	1	1	1
APASS	214.70902	52.737916	0.0	0.0	0.0	0.0	1	1	0	0	0	1	2	0	1	1	1
Gaia	214.58603611317	52.68113202019	0.122	-1.847	0.6069999933242798	0.5720000267028809	0	0	0	0	0	1	1	0	0	0	0
Gaia	214.5399016691	52.68287413294	0.0	0.0	0.0	0.0	0	0	0	0	0	1	2	0	1	1	1
Gaia	214.61753671033	52.67400944514	-11.94	-6.99	0.1550000011920929	0.17399999499320984	0	0	0	0	0	1	2	0	1	1	1
Gaia	214.55889658952	52.65236473092	0.0	0.0	0.0	0.0	0	1	0	0	0	1	2	0	1	1	1
Gaia	214.56472869663	52.65088248886	15.545	-1.176	0.04399999976158142	0.04899999871850014	0	1	0	0	0	1	2	0	1	1	1
Gaia	214.58690475793	52.71208271414	-3.86	-4.635	0.03799999877810478	0.041999999433755875	0	1	0	0	0	1	2	0	1	1	1
Gaia	214.62891249602	52.6671556167	-8.515	-7.482	0.12700000405311584	0.1340000033378601	0	0	0	0	0	1	2	0	1	1	1
Gaia	214.52946153899	52.69723402273	0.0	0.0	0.0	0.0	0	1	0	0	0	1	3	0	0	1	1
Gaia	214.63070697692	52.69126574283	6.708	-4.505	0.014999999664723873	0.01600000075995922	0	1	1	0	0	1	2	0	1	1	1
Gaia	214.64083401674	52.67890273801	-4.874	-5.805	0.08799999952316284	0.09300000220537186	0	1	0	0	0	1	2	0	1	1	1
Gaia	214.63759213664	52.69513506239	-3.607	-3.531	0.13899999856948853	0.14399999380111694	0	0	0	0	0	1	3	0	0	0	0
Gaia	214.51235121096	52.67434957709	-2.859	-1.473	0.20399999618530273	0.23499999940395355	0	0	0	0	0	1	3	0	0	0	0
Gaia	214.51402627717	52.69107129371	-0.391	-0.119	0.47999998927116394	0.5329999923706055	0	0	0	0	0	1	1	0	1	1	1
Gaia	214.58331286892	52.63997234313	-1.114	0.759	0.3059999942779541	0.3319999873638153	0	1	0	0	0	1	1	0	1	1	1
Gaia	214.63841937967	52.65962512809	-19.107	-25.816	0.06300000101327896	0.06499999761581421	0	1	0	0	0	1	4	0	0	0	0
Gaia	214.63937032251	52.65917828395	-19.781	-25.936	0.08299999684095383	0.0860000029206276	0	0	0	0	0	1	2	0	0	1	0
Gaia	214.6253329036	52.64825757612	0.0	0.0	0.0	0.0	0	0	0	0	0	1	1	0	0	1	1
Gaia	214.54045430497	52.71672664978	0.0	0.0	0.0	0.0	0	0	0	0	0	1	1	0	0	0	0
Gaia	214.55985243744	52.72259008568	-7.186	-1.416	0.4359999895095825	0.4880000054836273	0	0	0	0	0	1	1	0	0	0	0
Gaia	214.51951012298	52.70660677892	0.0	0.0	0.0	0.0	0	0	0	0	0	1	2	0	0	0	0
Gaia	214.55021843857	52.72172550874	-20.562	-7.808	0.06800000369548798	0.07999999821186066	0	1	0	0	0	1	2	0	1	1	1
Gaia	214.57601492297	52.72527639065	-9.887	-2.051	0.1940000057220459	0.22599999606609344	0	0	0	0	0	1	2	0	1	1	0
Gaia	214.50565979981	52.66143626553	-1.725	-2.541	0.09700000286102295	0.11100000143051147	0	0	0	0	0	1	2	0	1	1	1
Gaia	214.63328804457	52.64642241798	9.518	10.491	0.014000000432133675	0.014999999664723873	0	1	1	0	0	1	3	0	1	1	1
Gaia	214.50900557104	52.656577662	0.0	0.0	0.0	0.0	0	0	0	0	0	1	1	0	0	0	0
Gaia	214.65692792169	52.67517215037	-9.09	1.995	1.2050000429153442	1.9500000476837158	0	0	0	0	0	1	1	0	1	0	1
Gaia	214.55895077913	52.63297169997	3.106	-3.066	0.23899999260902405	0.24699999392032623	0	0	0	0	0	1	3	0	1	1	1
Gaia	214.50593172948	52.65257847398	2.812	-8.423	0.08799999952316284	0.09700000286102295	0	1	0	0	0	1	5	0	1	1	1
Gaia	214.57696103598	52.7322453392	0.0	0.0	0.0	0.0	0	0	0	0	0	1	2	0	0	0	1
Gaia	214.51810943907	52.64167870366	-4.715	-2.939	0.020999999716877937	0.023000000044703484	0	1	1	0	0	1	5	0	1	1	1
Gaia	214.49674312062	52.65910475898	-3.114	-2.247	0.17599999904632568	0.210999995470047	0	0	0	0	0	1	2	0	1	1	1
Gaia	214.50387579449	52.64822932823	-1.654	-3.926	0.14499999582767487	0.16599999368190765	0	0	0	0	0	1	4	0	1	1	1
Gaia	214.62178108121	52.72944843276	-9.63	-1.461	0.8309999704360962	1.225000023841858	0	0	0	0	0	1	1	0	0	1	1
Gaia	214.5827880503	52.73619368022	-3.402	-5.768	0.777999997138977	0.9850000143051147	0	0	0	0	0	1	1	0	0	0	0
Gaia	214.66778534584	52.66650152475	-6.71	-4.473	0.13300000131130219	0.1420000046491623	0	1	0	0	0	1	2	0	1	1	1
Gaia	214.66776303554	52.69519137506	0.241	-3.86	0.9369999766349792	1.2630000114440918	0	0	0	0	0	1	1	0	0	0	0
Gaia	214.66574906252	52.69983456625	0.704	-11.216	0.30300000309944153	0.30799999833106995	0	0	0	0	0	1	1	0	1	1	1
Gaia	214.48299486047	52.67571546385	-6.862	9.162	0.26100000739097595	0.289000004529953	0	1	0	0	0	1	2	0	1	1	1
Gaia	214.49842825431	52.64606031768	-9.916	-4.568	0.13600000739097595	0.15800000727176666	0	1	0	0	0	1	4	0	1	1	1
Gaia	214.47902682098	52.68752863394	0.0	0.0	0.0	0.0	0	0	0	0	0	1	3	0	1	1	1
Gaia	214.48784863692	52.65401934343	-17.005	-17.987	0.06400000303983688	0.0729999989271164	0	0	0	0	0	1	4	0	1	1	1
Gaia	214.54278266773	52.62244375344	4.342	-27.268	0.6579999923706055	0.6460000276565552	0	0	0	0	0	1	2	0	1	1	0
Gaia	214.55248342311	52.61921162404	-16.965	-0.235	0.22100000083446503	0.2619999945163727	0	1	0	0	0	1	2	0	1	1	0
