BailerJones	214.58603611317	52.68113202019	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.61753671033	52.67400944514	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.56472869663	52.65088248886	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.58690475793	52.71208271414	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.62891249602	52.6671556167	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.63070697692	52.69126574283	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.64083401674	52.67890273801	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.63759213664	52.69513506239	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.51235121096	52.67434957709	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.51402627717	52.69107129371	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.58331286892	52.63997234313	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.63841937967	52.65962512809	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.63937032251	52.65917828395	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.55985243744	52.72259008568	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.55021843857	52.72172550874	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.57601492297	52.72527639065	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.50565979981	52.66143626553	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.63328804457	52.64642241798	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.65692792169	52.67517215037	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.55895077913	52.63297169997	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.50593172948	52.65257847398	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.51810943907	52.64167870366	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.49674312062	52.65910475898	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.50387579449	52.64822932823	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.62178108121	52.72944843276	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.5827880503	52.73619368022	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.66778534584	52.66650152475	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.66776303554	52.69519137506	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.66574906252	52.69983456625	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.48299486047	52.67571546385	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.49842825431	52.64606031768	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.48784863692	52.65401934343	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.54278266773	52.62244375344	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.55248342311	52.61921162404	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.67520152037	52.70118811717	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.6400311072	52.73142865303	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.67198690092	52.70893249595	0.0	0.0	0.0	0.0	1	0	1
BailerJones	214.47423038365	52.66542513856	0.0	0.0	0.0	0.0	1	0	1
